id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
tld-6725-sa,gtfs_rt,sa,US,California,Irvine,City of Irvine,,,,,tld-6724,https://passio3.com/irvine/passioTransit/gtfs/realtime/serviceAlerts,0,,,,,33.651539,33.731875,-117.809192,-117.732860708,2026-05-15 00:39:34.796241+00:00,active,,,
tld-6725-tu,gtfs_rt,tu,US,California,Irvine,City of Irvine,,,,,tld-6724,https://passio3.com/irvine/passioTransit/gtfs/realtime/tripUpdates,0,,,,,33.651539,33.731875,-117.809192,-117.732860708,2026-05-15 00:39:34.796241+00:00,active,,,
tld-6725-vp,gtfs_rt,vp,US,California,Irvine,City of Irvine,,,,,tld-6724,https://passio3.com/irvine/passioTransit/gtfs/realtime/vehiclePositions,0,,,,,33.651539,33.731875,-117.809192,-117.732860708,2026-05-15 00:39:34.796241+00:00,active,,,
tld-6732-sa,gtfs_rt,sa,US,California,Los Angeles County,Rosemead Explorer,True,,,,mdb-3098,https://passio3.com/rosemead/passioTransit/gtfs/realtime/serviceAlerts,0,,,,,34.03651,34.08384,-118.10379,-118.0585,2026-05-15 01:02:24.957959+00:00,active,,,
tld-6732-tu,gtfs_rt,tu,US,California,Los Angeles County,Rosemead Explorer,True,,,,mdb-3098,https://passio3.com/rosemead/passioTransit/gtfs/realtime/tripUpdates,0,,,,,34.03651,34.08384,-118.10379,-118.0585,2026-05-15 01:02:24.957959+00:00,active,,,
tld-6732-vp,gtfs_rt,vp,US,California,Los Angeles County,Rosemead Explorer,True,,,,mdb-3098,https://passio3.com/rosemead/passioTransit/gtfs/realtime/vehiclePositions,0,,,,,34.03651,34.08384,-118.10379,-118.0585,2026-05-15 01:02:24.957959+00:00,active,,,
tld-6735,gtfs,,US,North Carolina,Jacksonville,City of Jacksonville,True,,,,,https://passio3.com/jacksonville/passioTransit/gtfs/google_transit.zip,0,,,https://files.mobilitydatabase.org/tld-6735/latest.zip,,34.582764167,34.802328,-77.47343967,-77.320563775,2026-05-15 01:20:57.994208+00:00,active,,,
tld-6738,gtfs,,NZ,Waikato,Hamilton City,Waikato Regional Council,,,,,,https://wrcscheduledata.blob.core.windows.net/wrcgtfs/busit-nz-public.zip,0,,,https://files.mobilitydatabase.org/tld-6738/latest.zip,,-38.9892712,-36.84841526,174.7796398,176.1052278,2026-05-11 01:53:46.263375+00:00,active,Headsigns|Route Colors|Shapes,,
tld-6740,gtfs,,US,Mississippi,Gulfport,Mississippi Coast Transportation Authority,True,,,,,https://coasttransit.com/wp-content/uploads/2024/02/cta_gtfs-2024-1.zip,0,,,https://files.mobilitydatabase.org/tld-6740/latest.zip,,30.362766,30.458762,-89.139095,-88.760131,2024-12-06 20:52:57.184632+00:00,inactive,Bike Allowed|Feed Information|Headsigns|Route Colors|Shapes|Trips Wheelchair Accessibility,,
tld-6741,gtfs,,US,South Carolina,York County,My Ride Rock Hill,True,,,,,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11718/myriderockhill-sc-us.zip,0,,,https://files.mobilitydatabase.org/tld-6741/latest.zip,,34.9036054255727,34.977027,-81.06566369,-80.957919,2026-01-31 00:05:37.188891+00:00,active,Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility,,
tld-6743,gtfs,,US,Arizona,Maricopa,Maricopa Express Transit,True,,,,,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11713/met_gtfs.zip,0,,,https://files.mobilitydatabase.org/tld-6743/latest.zip,,33.037975,33.074093,-112.046706,-111.994399,2025-12-02 00:11:49.530225+00:00,active,Bike Allowed|Fares V1|Feed Information|Headsigns|Route Colors|Shapes|Trips Wheelchair Accessibility,,
tld-6744-sa,gtfs_rt,sa,US,New Mexico,Dulce,North Central Regional Transit District,,,,,tld-1319,https://bluebustracker.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=Alert,0,,,,,35.000311,36.978963,-108.18002,-105.209957,2026-06-12 00:52:03.006255+00:00,active,,,
tld-6744-tu,gtfs_rt,tu,US,New Mexico,Dulce,North Central Regional Transit District,,,,,tld-1319,https://bluebustracker.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,0,,,,,35.000311,36.978963,-108.18002,-105.209957,2026-06-12 00:52:03.006255+00:00,active,,,
tld-6744-vp,gtfs_rt,vp,US,New Mexico,Dulce,North Central Regional Transit District,,,,,tld-1319,https://bluebustracker.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition,0,,,,,35.000311,36.978963,-108.18002,-105.209957,2026-06-12 00:52:03.006255+00:00,active,,,
tld-6745,gtfs,,US,New York,Hudson,"Propark Mobility, Columbia County Public Transportation",True,,,,,https://s3.amazonaws.com/datatools-511ny/public/Columbia_County_Public_Transit.zip,0,,,https://files.mobilitydatabase.org/tld-6745/latest.zip,,42.017956,42.679403,-73.895387,-73.539133,2025-11-20 00:02:22.405217+00:00,active,Continuous Stops|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility|Trips Wheelchair Accessibility,,
tld-6747,gtfs,,US,New York,Oswego County,Oswego County Public Transit,,,,,,https://s3.amazonaws.com/datatools-511ny/public/Oswego_County_Public_Transit.zip,0,,,https://files.mobilitydatabase.org/tld-6747/latest.zip,,43.247477,43.646961,-76.505573,-75.885084,2026-01-21 01:24:00.070022+00:00,inactive,Bike Allowed|Fares V1|Feed Information|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility|Trips Wheelchair Accessibility,,
tld-6748,gtfs,,US,New York,Buffalo,Niagara Frontier Transportation Authority,True,,,,,https://metro.nfta.com/__googletransit/rail/google_transit.zip,0,,,https://files.mobilitydatabase.org/tld-6748/latest.zip,,42.874009,42.954409,-78.877111,-78.820153,2026-02-28 00:14:46.201958+00:00,inactive,Headsigns|Shapes|Stops Wheelchair Accessibility,,
tld-6755,gtfs,,CA,British Columbia,Area A (Baynes Sound),Denman Island Bus Service,True,,,,,https://bctracker.ca/feeds/denman/denman-feed.zip,0,,,https://files.mobilitydatabase.org/tld-6755/latest.zip,,49.486638,49.558642,-124.83085,-124.7096,2024-12-06 20:53:18.284038+00:00,inactive,Continuous Stops|Feed Information|Headsigns|Route Colors|Shapes,,
tld-6756,gtfs,,CA,British Columbia,Area B (DeCourcy/Gabriola/Mudge),Gabriola Community Shuttle,True,,,,,https://bctracker.ca/feeds/gabriola/gabriola-feed.zip,0,,,https://files.mobilitydatabase.org/tld-6756/latest.zip,,49.128238,49.199408,-123.870677,-123.702064,2024-12-06 20:55:21.754847+00:00,active,Continuous Stops|Fares V1|Feed Information|Headsigns|Route Colors|Shapes,,
tld-6757,gtfs,,CA,British Columbia,Area A (Baynes Sound),Hornby Island Bus,True,,,,,https://bctracker.ca/feeds/hornby/hornby-feed.zip,0,,,https://files.mobilitydatabase.org/tld-6757/latest.zip,,49.497136,49.544556,-124.709341,-124.606554,2024-12-06 20:54:44.827513+00:00,inactive,Continuous Stops|Feed Information|Route Colors|Shapes,,
tld-6758,gtfs,,MY,Kuala Lumpur,,Keretapi Tanah Melayu Berhad,,,,,,https://api.data.gov.my/gtfs-static/ktmb,0,,,https://files.mobilitydatabase.org/tld-6758/latest.zip,,1.385313,6.662205,100.25713,103.92152,2025-09-11 00:05:54.186753+00:00,active,Route Colors,,
tld-6759-vp,gtfs_rt,vp,MY,Selangor,,Keretapi Tanah Melayu Berhad,,,,,,https://api.data.gov.my/gtfs-realtime/vehicle-position/ktmb,0,,,,,,,,,,active,,,
tld-6767,gtfs,,MY,Selangor,Petaling,Prasarana Malaysia,True,Rapid KL,,,,https://api.data.gov.my/gtfs-static/prasarana?category=rapid-bus-kl,0,,,https://files.mobilitydatabase.org/tld-6767/latest.zip,,2.745307,3.337331,101.409016,101.87622584113,2026-07-06 00:25:25.863172+00:00,active,,,
tld-6768,gtfs,,MY,Pahang,Kuantan,Prasarana Malaysia,True,Rapid Kuantan,,,,https://api.data.gov.my/gtfs-static/prasarana?category=rapid-bus-kuantan,0,,,https://files.mobilitydatabase.org/tld-6768/latest.zip,,3.4899867969634,4.162102732702,103.03403555962,103.46097898618,2025-09-11 01:25:04.147393+00:00,active,Frequencies|Headsigns|Route Colors|Shapes,,
tld-6769,gtfs,,MY,Kuala Lumpur,,Prasarana Malaysia,True,MRT Feeder Bus,,,,https://api.data.gov.my/gtfs-static/prasarana?category=rapid-bus-mrtfeeder,0,,,https://files.mobilitydatabase.org/tld-6769/latest.zip,,2.895592,3.311513,101.432691,101.827725,2026-06-30 01:20:12.708381+00:00,active,,,
tld-6770,gtfs,,MY,Penang,Northeast Penang Island District,Prasarana Malaysia,True,Rapid Penang,,,,https://api.data.gov.my/gtfs-static/prasarana?category=rapid-bus-penang,0,,,https://files.mobilitydatabase.org/tld-6770/latest.zip,,5.1181722,5.64414,100.19015,100.5536579,2026-07-10 01:25:24.634344+00:00,active,,,
tld-6771,gtfs,,MY,Kuala Lumpur,,Prasarana Malaysia,True,Rapid Rail,,,,https://api.data.gov.my/gtfs-static/prasarana?category=rapid-rail-kl,0,,,https://files.mobilitydatabase.org/tld-6771/latest.zip,,2.9313,3.231793,101.440556,101.790278,2026-06-30 00:22:02.405789+00:00,active,Frequencies|Headsigns|Route Colors|Shapes,,
tld-6772,gtfs,,US,Colorado,Fort Collins,City of Loveland Transit (COLT),True,,,,,https://www.lovgov.org/home/showpublisheddocument/60816/638518185148200000,0,,,,,,,,,,active,,,
tld-6773,gtfs,,US,Alabama,Mobile,City of Mobile,True,,,,,https://realtimemobile.availtec.com/infopoint/gtfs-zip.ashx,0,,,https://files.mobilitydatabase.org/tld-6773/latest.zip,,30.589393,30.738666,-88.243535,-88.037954,2025-12-26 00:31:56.820752+00:00,active,Bike Allowed|Fares V1|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility|Transfers|Trips Wheelchair Accessibility,,
tld-6774-sa,gtfs_rt,sa,US,Alabama,Mobile,City of Mobile,,,,,tld-6773,https://realtimemobile.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=Alert,0,,,,,30.589393,30.738666,-88.243535,-88.037954,2025-12-26 00:31:56.820752+00:00,active,,,
tld-6774-tu,gtfs_rt,tu,US,Alabama,Mobile,City of Mobile,,,,,tld-6773,https://realtimemobile.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,0,,,,,30.589393,30.738666,-88.243535,-88.037954,2025-12-26 00:31:56.820752+00:00,active,,,
tld-6774-vp,gtfs_rt,vp,US,Alabama,Mobile,City of Mobile,,,,,tld-6773,https://realtimemobile.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition,0,,,,,30.589393,30.738666,-88.243535,-88.037954,2025-12-26 00:31:56.820752+00:00,active,,,
tld-6775,gtfs,,US,Tennessee,Sevier County,City of Gatlinburg Trolley,True,,,,,http://gatlinburg.connexionz.net/rtt/public/utility/gtfs.aspx,0,,,https://files.mobilitydatabase.org/tld-6775/latest.zip,,35.703226,35.757411,-83.52856,-83.41504,2026-05-16 00:26:55.422524+00:00,active,Feed Information|Headsigns|Route Colors|Shapes,,
tld-6777,gtfs,,US,New York,Otsego County,Oneonta Public Transit,True,,,,,https://s3.amazonaws.com/datatools-511ny/public/Oneonta_Public_Transportation.zip,0,,,https://files.mobilitydatabase.org/tld-6777/latest.zip,,42.438526,42.700342,-75.111862,-74.923601,2026-05-28 00:19:51.877502+00:00,active,Bike Allowed|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility,,
tld-6782,gtfs,,ET,Addis Ababa,,Addis Ababa Transport (all),,,,,,https://gitlab.com/digitaltransport/data/africa/addis-ababa/-/raw/master/Addis%20Ababa%20GTFS_2023/et-addisababa.zip,0,,,https://files.mobilitydatabase.org/tld-6782/latest.zip,,8.7420301,9.1972246,38.3678579,39.1541398,2024-12-06 20:52:55.125780+00:00,active,Continuous Stops|Feed Information|Frequencies|Headsigns|Location Types|Route Colors|Shapes,,
tld-6783-sa,gtfs_rt,sa,US,North Carolina,Alamance County,Research Triangle Regional Public Transportation Authority,,,,,tld-202,https://gotriangle.tripsparkhost.com/gtfs/Realtime/GTFS_ServiceAlerts.pb,0,,,,,35.632754,36.095602,-79.270028,-78.296822,2026-03-24 01:43:49.179380+00:00,active,,,
tld-6783-tu,gtfs_rt,tu,US,North Carolina,Alamance County,Research Triangle Regional Public Transportation Authority,,,,,tld-202,https://gotriangle.tripsparkhost.com/gtfs/Realtime/GTFS_TripUpdates.pb,0,,,,,35.632754,36.095602,-79.270028,-78.296822,2026-03-24 01:43:49.179380+00:00,active,,,
tld-6783-vp,gtfs_rt,vp,US,North Carolina,Alamance County,Research Triangle Regional Public Transportation Authority,,,,,tld-202,https://gotriangle.tripsparkhost.com/gtfs/Realtime/GTFS_VehiclePositions.pb,0,,,,,35.632754,36.095602,-79.270028,-78.296822,2026-03-24 01:43:49.179380+00:00,active,,,
tld-6784-sa,gtfs_rt,sa,US,Louisiana,Baker,Capital Area Transit System,,,,,mdb-2065,https://cats.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=alert,0,,,,,30.3463459,30.5881443,-91.199974,-91.000862,2025-10-08 01:14:25.913713+00:00,active,,,
tld-6784-tu,gtfs_rt,tu,US,Louisiana,Baker,Capital Area Transit System,,,,,mdb-2065,https://cats.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=tripupdate,0,,,,,30.3463459,30.5881443,-91.199974,-91.000862,2025-10-08 01:14:25.913713+00:00,active,,,
tld-6784-vp,gtfs_rt,vp,US,Louisiana,Baker,Capital Area Transit System,,,,,mdb-2065,https://cats.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=vehicleposition,0,,,,,30.3463459,30.5881443,-91.199974,-91.000862,2025-10-08 01:14:25.913713+00:00,active,,,
tld-6785,gtfs,,US,Pennsylvania,Adamsburg,Westmoreland County Transit Authority,,,,,,https://wcta.rideralerts.com/InfoPoint/gtfs-zip.ashx,0,,,https://files.mobilitydatabase.org/tld-6785/latest.zip,,40.093403,40.61699,-80.004792,-78.916532,2025-07-12 02:57:22.533665+00:00,active,Bike Allowed|Feed Information|Headsigns|Location Types|Route Colors|Shapes|Stops Wheelchair Accessibility|Trips Wheelchair Accessibility,,
tld-6786-sa,gtfs_rt,sa,US,Pennsylvania,Adamsburg,Westmoreland County Transit Authority,,,,,tld-6785,https://wcta.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=alert,0,,,,,40.093403,40.61699,-80.004792,-78.916532,2025-07-12 02:57:22.533665+00:00,active,,,
tld-6786-tu,gtfs_rt,tu,US,Pennsylvania,Adamsburg,Westmoreland County Transit Authority,,,,,tld-6785,https://wcta.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=tripupdate,0,,,,,40.093403,40.61699,-80.004792,-78.916532,2025-07-12 02:57:22.533665+00:00,active,,,
tld-6786-vp,gtfs_rt,vp,US,Pennsylvania,Adamsburg,Westmoreland County Transit Authority,,,,,tld-6785,https://wcta.rideralerts.com/InfoPoint/gtfs-realtime.ashx?type=vehicleposition,0,,,,,40.093403,40.61699,-80.004792,-78.916532,2025-07-12 02:57:22.533665+00:00,active,,,
tld-6820-sa,gtfs_rt,sa,US,North Carolina,Jacksonville,City of Jacksonville,,,,,tld-6735,https://passio3.com/jacksonville/passioTransit/gtfs/realtime/serviceAlerts,0,,,,,34.582764167,34.802328,-77.47343967,-77.320563775,2026-05-15 01:20:57.994208+00:00,active,,,
tld-6820-tu,gtfs_rt,tu,US,North Carolina,Jacksonville,City of Jacksonville,,,,,tld-6735,https://passio3.com/jacksonville/passioTransit/gtfs/realtime/tripUpdates,0,,,,,34.582764167,34.802328,-77.47343967,-77.320563775,2026-05-15 01:20:57.994208+00:00,active,,,
tld-6820-vp,gtfs_rt,vp,US,North Carolina,Jacksonville,City of Jacksonville,,,,,tld-6735,https://passio3.com/jacksonville/passioTransit/gtfs/realtime/vehiclePositions,0,,,,,34.582764167,34.802328,-77.47343967,-77.320563775,2026-05-15 01:20:57.994208+00:00,active,,,
tld-6821-sa,gtfs_rt,sa,US,North Carolina,Apex,GoCary,,,,,mdb-2277,https://www.gocarylive.org/gtfs/Realtime/GTFS_ServiceAlerts.pb,0,,,,,35.714045,35.83141,-78.896151,-78.705152,2026-05-10 00:34:16.548525+00:00,active,,,
tld-6821-tu,gtfs_rt,tu,US,North Carolina,Apex,GoCary,,,,,mdb-2277,https://www.gocarylive.org/gtfs/Realtime/GTFS_TripUpdates.pb,0,,,,,35.714045,35.83141,-78.896151,-78.705152,2026-05-10 00:34:16.548525+00:00,active,,,
